Designator,Mid X,Mid Y,Layer,Rotation
D1400,-5.6,-36.373066,top,120
D1401,-7,-36.373066,top,120
D1402,-8.4,-36.373066,top,120
D1403,-9.8,-36.373066,top,120
D1404,-11.2,-36.373066,top,120
D1405,-12.6,-36.373066,top,120
D1406,-14,-36.373066,top,120
D1407,-15.4,-36.373066,top,120
D1408,-16.8,-36.373066,top,120
D1409,-18.2,-36.373066,top,120
D141,-0.7,-3.637306,top,120
D1410,-19.6,-36.373066,top,120
D1411,-21,-36.373066,top,120
D1412,-22.4,-36.373066,top,120
D1413,-23.8,-36.373066,top,120
D1414,-25.2,-36.373066,top,120
D1415,-26.6,-36.373066,top,120
D1416,-28,-36.373066,top,120
D1417,-29.4,-36.373066,top,120
D1418,-30.8,-36.373066,top,120
D1419,-32.2,-36.373066,top,120
D142,-2.1,-3.637306,top,120
D1420,-33.6,-36.373066,top,120
D1421,-35,-36.373066,top,120
D1422,-36.4,-36.373066,top,120
D1423,-37.8,-36.373066,top,120
D1424,-39.2,-36.373066,top,120
D1425,-40.6,-36.373066,top,120
D1426,-42,-36.373066,top,120
D1427,21.7,-37.585502,top,120
D1428,20.3,-37.585502,top,120
D1429,18.9,-37.585502,top,120
D143,-3.5,-3.637306,top,120
D1430,17.5,-37.585502,top,120
D1431,16.1,-37.585502,top,120
D1432,14.7,-37.585502,top,120
D1433,13.3,-37.585502,top,120
D1434,11.9,-37.585502,top,120
D1435,10.5,-37.585502,top,120
D1436,9.1,-37.585502,top,120
D1437,7.7,-37.585502,top,120
D1438,6.3,-37.585502,top,120
D1439,4.9,-37.585502,top,120
D144,-4.9,-3.637306,top,120
D1440,3.5,-37.585502,top,120
D1441,2.1,-37.585502,top,120
D1442,0.7,-37.585502,top,120
D1443,-0.7,-37.585502,top,120
D1444,-2.1,-37.585502,top,120
D1445,-3.5,-37.585502,top,120
D1446,-4.9,-37.585502,top,120
D1447,-6.3,-37.585502,top,120
D1448,-7.7,-37.585502,top,120
D1449,-9.1,-37.585502,top,120
D145,-6.3,-3.637306,top,120
D1450,-10.5,-37.585502,top,120
D1451,-11.9,-37.585502,top,120
D1452,-13.3,-37.585502,top,120
D1453,-14.7,-37.585502,top,120
D1454,-16.1,-37.585502,top,120
D1455,-17.5,-37.585502,top,120
D1456,-18.9,-37.585502,top,120
D1457,-20.3,-37.585502,top,120
D1458,-21.7,-37.585502,top,120
D1459,-23.1,-37.585502,top,120
D146,-7.7,-3.637306,top,120
D1460,-24.5,-37.585502,top,120
D1461,-25.9,-37.585502,top,120
D1462,-27.3,-37.585502,top,120
D1463,-28.7,-37.585502,top,120
D1464,-30.1,-37.585502,top,120
D1465,-31.5,-37.585502,top,120
D1466,-32.9,-37.585502,top,120
D1467,-34.3,-37.585502,top,120
D1468,-35.7,-37.585502,top,120
D1469,-37.1,-37.585502,top,120
D147,-9.1,-3.637306,top,120
D1470,-38.5,-37.585502,top,120
D1471,-39.9,-37.585502,top,120
D1472,-41.3,-37.585502,top,120
D1473,22.4,-38.797938,top,120
D1474,21,-38.797938,top,120
D1475,19.6,-38.797938,top,120
D1476,18.2,-38.797938,top,120
D1477,16.8,-38.797938,top,120
D1478,15.4,-38.797938,top,120
D1479,14,-38.797938,top,120
D148,-10.5,-3.637306,top,120
D1480,12.6,-38.797938,top,120
D1481,11.2,-38.797938,top,120
D1482,9.8,-38.797938,top,120
D1483,8.4,-38.797938,top,120
D1484,7,-38.797938,top,120
D1485,5.6,-38.797938,top,120
D1486,4.2,-38.797938,top,120
D1487,2.8,-38.797938,top,120
D1488,1.4,-38.797938,top,120
D1489,0,-38.797938,top,120
D149,-11.9,-3.637306,top,120
D1490,-1.4,-38.797938,top,120
D1491,-2.8,-38.797938,top,120
D1492,-4.2,-38.797938,top,120
D1493,-5.6,-38.797938,top,120
D1494,-7,-38.797938,top,120
D1495,-8.4,-38.797938,top,120
D1496,-9.8,-38.797938,top,120
D1497,-11.2,-38.797938,top,120
D1498,-12.6,-38.797938,top,120
D1499,-14,-38.797938,top,120
D15,-19.6,0,top,120
D150,-13.3,-3.637306,top,120
D1500,-15.4,-38.797938,top,120
D1501,-16.8,-38.797938,top,120
D1502,-18.2,-38.797938,top,120
D1503,-19.6,-38.797938,top,120
D1504,-21,-38.797938,top,120
D1505,-22.4,-38.797938,top,120
D1506,-23.8,-38.797938,top,120
D1507,-25.2,-38.797938,top,120
D1508,-26.6,-38.797938,top,120
D1509,-28,-38.797938,top,120
D151,-14.7,-3.637306,top,120
D1510,-29.4,-38.797938,top,120
D1511,-30.8,-38.797938,top,120
D1512,-32.2,-38.797938,top,120
D1513,-33.6,-38.797938,top,120
D1514,-35,-38.797938,top,120
D1515,-36.4,-38.797938,top,120
D1516,-37.8,-38.797938,top,120
D1517,-39.2,-38.797938,top,120
D1518,-40.6,-38.797938,top,120
D1519,23.1,-40.010373,top,120
D152,-16.1,-3.637306,top,120
D1520,21.7,-40.010373,top,120
D1521,20.3,-40.010373,top,120
D1522,18.9,-40.010373,top,120
D1523,17.5,-40.010373,top,120
D1524,16.1,-40.010373,top,120
D1525,14.7,-40.010373,top,120
D1526,13.3,-40.010373,top,120
D1527,11.9,-40.010373,top,120
D1528,10.5,-40.010373,top,120
D1529,9.1,-40.010373,top,120
D153,-17.5,-3.637306,top,120
D1530,7.7,-40.010373,top,120
D1531,6.3,-40.010373,top,120
D1532,4.9,-40.010373,top,120
D1533,3.5,-40.010373,top,120
D1534,2.1,-40.010373,top,120
D1535,0.7,-40.010373,top,120
D1536,-0.7,-40.010373,top,120
D1537,-2.1,-40.010373,top,120
D1538,-3.5,-40.010373,top,120
D1539,-4.9,-40.010373,top,120
D154,-18.9,-3.637306,top,120
D1540,-6.3,-40.010373,top,120
D1541,-7.7,-40.010373,top,120
D1542,-9.1,-40.010373,top,120
D1543,-10.5,-40.010373,top,120
D1544,-11.9,-40.010373,top,120
D1545,-13.3,-40.010373,top,120
D1546,-14.7,-40.010373,top,120
D1547,-16.1,-40.010373,top,120
D1548,-17.5,-40.010373,top,120
D1549,-18.9,-40.010373,top,120
D155,-20.3,-3.637306,top,120
D1550,-20.3,-40.010373,top,120
D1551,-21.7,-40.010373,top,120
D1552,-23.1,-40.010373,top,120
D1553,-24.5,-40.010373,top,120
D1554,-25.9,-40.010373,top,120
D1555,-27.3,-40.010373,top,120
D1556,-28.7,-40.010373,top,120
D1557,-30.1,-40.010373,top,120
D1558,-31.5,-40.010373,top,120
D1559,-32.9,-40.010373,top,120
D156,-21.7,-3.637306,top,120
D1560,-34.3,-40.010373,top,120
D1561,-35.7,-40.010373,top,120
D1562,-37.1,-40.010373,top,120
D1563,-38.5,-40.010373,top,120
D1564,-39.9,-40.010373,top,120
D1565,23.8,-41.222809,top,120
D1566,22.4,-41.222809,top,120
D1567,21,-41.222809,top,120
D1568,19.6,-41.222809,top,120
D1569,18.2,-41.222809,top,120
D157,-23.1,-3.637306,top,120
D1570,16.8,-41.222809,top,120
D1571,15.4,-41.222809,top,120
D1572,14,-41.222809,top,120
D1573,12.6,-41.222809,top,120
